year.x,gear,dpue,n,prog,group
2010,non-pulse,0.02408440953620341,10,self,non-pulse_self
2011,non-pulse,0.12783772355938505,13,self,non-pulse_self
2012,non-pulse,0.23754670957023938,12,self,non-pulse_self
2012,pulse,0.013111400980868599,7,self,pulse_self
2013,non-pulse,0.021113263751967246,8,self,non-pulse_self
2013,pulse,0.05362396438173763,7,self,pulse_self
2014,non-pulse,0.024152944720446348,6,self,non-pulse_self
2014,pulse,0.1297522444534975,12,self,pulse_self
2015,non-pulse,0.018928814376498605,5,self,non-pulse_self
2015,pulse,0.05670332546036705,22,self,pulse_self
2016,non-pulse,0.04084625694519712,11,self,non-pulse_self
2016,pulse,0.06289284798790444,48,self,pulse_self
1999,non-pulse,0.003081431455119568,2,observer,non-pulse_observer
2000,non-pulse,0.005476718868839486,7,observer,non-pulse_observer
2001,non-pulse,0.07946549265810271,2,observer,non-pulse_observer
2003,non-pulse,4.4993785379722647e-4,3,observer,non-pulse_observer
2004,non-pulse,0.009375343526424969,3,observer,non-pulse_observer
2005,pulse,8.983264750620612e-4,1,observer,pulse_observer
2006,non-pulse,0.05923543664175824,1,observer,non-pulse_observer
2006,pulse,0.0010322417234355267,3,observer,pulse_observer
2007,non-pulse,3.0373702400847357e-5,1,observer,non-pulse_observer
2008,non-pulse,0.0037674761405177724,2,observer,non-pulse_observer
2009,non-pulse,0.0013695360907869697,1,observer,non-pulse_observer
2012,non-pulse,0.06984960901131035,2,observer,non-pulse_observer
2012,pulse,0.01265251380059385,2,observer,pulse_observer
2013,non-pulse,0.013511406845948676,2,observer,non-pulse_observer
2014,non-pulse,0.008137480457335582,1,observer,non-pulse_observer
2014,pulse,0.022249855442559856,3,observer,pulse_observer
2015,non-pulse,0.0015672746214439534,1,observer,non-pulse_observer
2015,pulse,0.016393886664069938,6,observer,pulse_observer
2016,non-pulse,0.03908079709167221,3,observer,non-pulse_observer
2016,pulse,0.04754622657366306,5,observer,pulse_observer
