"","catF","lanF","catch","landings","catB","lanB"
"F05",0.472534833869239,NA,2705.16961843234,NA,4878.59106458281,NA
"F10",0.493731739707835,NA,2649.20600655722,NA,4463.707069416,NA
"F50",0.568578975171685,NA,2232.22287675446,NA,2973.52859146118,NA
"medianMSY",NA,0.361361361361361,NA,2826.77531310852,NA,7549.15363820844
"meanMSY",0.37,0.37,2825.06533775424,2825.06533775424,7302.68670719319,7302.68670719319
"Medlower",NA,0.254254254254254,NA,2687.08634464261,NA,11489.0664789121
"Meanlower",NA,0.254774774774775,NA,2758.30747830205,NA,NA
"Medupper",NA,0.481481481481481,NA,2686.29185418213,NA,4704.47289184471
"Meanupper",NA,0.478738738738739,NA,2757.5470070596,NA,NA
